1.3645872,-8.12260635,3.4665486 1.02061014,3.39177237,-8.17132667
-9.17531419,3.23532716,-1.21814 4.07810664,-8.67917807,4.73164958
2.26459903,-1.84800191,-8.06416049 -6.37409913,5.62224082,3.57070007
2.68458683,-0.81645216,-8.14306569 -7.25285254,4.08969514,3.59658795
5.10202604,3.60674766,-6.91144419 -1.51250563,-8.14973246,2.53283401
-7.2476356,3.65732116,4.1991441 2.67657037,-8.26136418,-0.88553123
3.59553211,5.07261912,-6.81989388 -8.12543816,-1.48955969,2.47779937
3.15174544,-15.84402051,4.033042 -0.15053181,3.08749226,-15.86163438
0.91103818,-16.34643904,-0.24558276 -15.59708491,1.38698645,-14.21352179
3.6192801,3.60155966,-7.39025374 -0.50332644,-8.16587227,2.77210524
-8.15867545,2.43259967,-1.83876684 3.61364634,-6.66397647,5.59070468
4.18685964,-15.35434851,4.05403993 -15.4120322,2.89221814,-0.69202191
1.43402268,-6.76233725,-16.37084672 -16.39076199,-6.61911483,1.41313058
-0.70606464,2.79149946,-8.24849819 3.92685402,-7.44295354,3.6469089
-6.95869663,4.1133549,3.6324401 2.50141547,-0.81122669,-8.20813384
-8.13949183,0.2918031,3.10463459 3.54420062,2.35848067,-7.81088847
-9.17016249,-0.6936179,3.3631929 4.0713624,3.9410667,-8.73282654
3.85175204,4.33598214,-13.52594895 -0.61468761,-13.47875979,3.32103274
0.61084008,3.19133757,-8.18630472 1.88283228,-7.87381885,3.5326607
3.95145843,3.62182948,-7.31706011 -0.72163551,-8.19654215,2.72010809
3.63268619,3.51100486,-7.55292652 -8.23331035,-0.43380569,2.8684441
-15.08220728,1.40334149,-14.94895281 0.50978946,-16.36158461,0.41955126
-6.60993213,5.00821392,3.64641898 2.32845353,-1.41417857,-8.21888924
6.07748878,3.57188015,-6.11165463 -2.13222047,-8.05668189,2.14498993
3.20867614,-8.2051858,0.5439611 -7.92706953,3.54995453,1.97810191
1.39947133,-9.56046892,-16.33191038 -16.35841312,-4.23819489,1.3850285
3.71150763,-7.34135063,4.35885065 -8.36820172,2.72953786,-0.99419735
-16.36600574,-10.71376986,1.40417065 1.44688701,-3.63458997,-16.3623922
4.39091637,-11.03249892,4.89828162 -11.06795561,3.19507936,-1.3073075
-9.61225575,1.27976519,4.07214556 3.99652448,1.12433253,-9.72918441
1.42170656,3.47338959,-8.0924376 0.97005968,-8.17001203,3.36805544
-14.3276996,0.93824821,3.93812059 4.09662832,1.50438988,-14.30722816
1.04590826,-16.36274259,-0.47913672 -15.76298393,1.40466001,-13.9234463
-16.37183875,-3.18905711,1.47669438 1.41441296,-11.355204,-16.36833307
5.11674458,3.63409679,-6.89441557 -1.51804055,-8.20312631,2.52008248
-13.43615251,-1.19524084,2.94594856 4.33574103,4.79733222,-13.46030021
-6.94409737,5.17989976,3.58845817 2.5623201,-1.57166852,-8.11484727
0.01381581,3.02248902,-8.04535375 2.79586903,-7.73182242,3.5179613
3.59159067,-7.8065843,2.60061319 -8.20857423,3.07751905,0.13933638
-8.132398,2.64150065,-1.25494449 3.59536796,-7.1431045,4.72256574
4.43839507,-7.13549369,3.60634077 -1.05337409,2.62171071,-8.15578911
-8.12163767,3.35435243,0.9213313 3.45558869,-8.08012714,1.47822691
-1.81903903,-8.14835986,2.50640457 5.55077272,3.60647846,-6.79268403
-8.18837002,2.50317801,-1.6355954 3.62706855,-6.83847669,5.28795648
3.61291713,-7.65196666,2.59628057 -8.24948173,2.99049232,0.14497526
-8.03591758,-1.97844201,2.47916939 3.54967429,5.77387018,-6.68633155
3.64252284,-7.18549581,4.54998132 -8.22707584,2.65133467,-1.12900541
2.51739433,-1.41678872,-8.15322656 -6.9053131,4.96703442,3.60865975
-1.03802522,-8.48092386,2.93075311 4.42388047,3.76597283,-7.70863351
-8.19185967,2.4820629,-1.64507152 3.62932404,-6.80040215,5.30432342
-16.37435762,-5.91034393,1.43570384 1.41699279,-8.11477458,-16.38907664
-8.27032563,-1.41154584,2.5296958 3.66773363,4.96977358,-6.94011229
-0.60084697,2.81400576,-8.21130067 3.76635318,-7.47351215,3.62603208
-9.62570569,1.41122234,-16.37304907 -4.23463702,-16.36942288,1.43036432
-6.84670193,3.62160397,4.73763944 2.46095049,-8.17772292,-1.24688942
2.45908557,-8.16024086,-0.81196707 -6.88758859,3.6090177,4.11916937
1.47027749,-16.36742789,-2.44053151 -16.32321568,1.40962973,-12.01384962
-6.86543522,3.6109932,5.47554198 2.5397234,-8.15860362,-1.76867656
4.26119253,2.81904781,-14.27471112 -14.27898135,0.03593602,3.57307177
